순위,제목,아티스트
1,TOO BAD (feat. Anderson .Paak),G-DRAGON
2,like JENNIE,제니 (JENNIE)
3,모르시나요(PROD.로코베리),조째즈
4,Drowning,WOODZ
5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
6,나는 반딧불,황가람
7,REBEL HEART,IVE (아이브)
8,Whiplash,aespa
9,HOT,LE SSERAFIM (르세라핌)
10,오늘만 I LOVE YOU,BOYNEXTDOOR
11,APT.,로제 (ROSÉ)
12,Flower,오반(OVAN)
13,HAPPY,DAY6 (데이식스)
14,ATTITUDE,IVE (아이브)
15,toxic till the end,로제 (ROSÉ)
16,내게 사랑이 뭐냐고 물어본다면,로이킴
17,사랑은 늘 도망가,임영웅
18,I DO ME,KiiiKiii (키키)
19,PO￦ER,G-DRAGON
20,소나기,이클립스 (ECLIPSE)
21,미치게 그리워서,황가람
22,한 페이지가 될 수 있게,DAY6 (데이식스)
23,Die With A Smile,Lady Gaga
24,TAKE ME,G-DRAGON
25,Welcome to the Show,DAY6 (데이식스)
26,우리들의 블루스,임영웅
27,천상연,이창섭
28,Supernova,aespa
29,예뻤어,DAY6 (데이식스)
30,청춘만화,이무진
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
32,천국보다 아름다운,임영웅
33,DRIP,BABYMONSTER
34,MY LOVE(2025),이예은
35,온기,임영웅
36,슬픈 초대장,순순희(지환)
37,다시 만날 수 있을까,임영웅
38,Love wins all,아이유
39,UP (KARINA Solo),aespa
40,모래 알갱이,임영웅
41,청혼하지 않을 이유를 못 찾았어,이무진
42,이제 나만 믿어요,임영웅
43,Home,임영웅
44,어제보다 슬픈 오늘,우디 (Woody)
45,내 이름 맑음,QWER
46,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
47,첫 만남은 계획대로 되지 않아,TWS (투어스)
48,사랑인가 봐,멜로망스
49,고민중독,QWER
50,Dash,PLAVE
51,무지개,임영웅
52,너의 모든 순간,성시경
53,Magnetic,아일릿(ILLIT)
54,London Boy,임영웅
55,The Chase,Hearts2Hearts (하츠투하츠)
56,"무제(無題) (Untitled, 2014)",G-DRAGON
57,Do or Die,임영웅
58,How Sweet,NewJeans
59,에피소드,이무진
60,비의 랩소디,임재현
61,인생찬가,임영웅
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
63,주저하는 연인들을 위해,잔나비
64,나는 아픈 건 딱 질색이니까,(여자)아이들
65,다정히 내 이름을 부르면,경서예지
66,Mantra,제니 (JENNIE)
67,I AM,IVE (아이브)
68,봄날,방탄소년단
69,Seven (feat. Latto) - Clean Ver.,정국
70,Supersonic,프로미스나인
71,헤어지자 말해요,박재정
72,너에게 닿기를,10CM
73,너와의 모든 지금,재쓰비 (JAESSBEE)
74,인사,범진
75,Hype Boy,NewJeans
76,Small girl (feat. 도경수(D.O.)),이영지
77,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR
78,RIZZ,PLAVE
79,Island,PLAVE
80,Sweet Dreams (feat. Miguel),j-hope
81,미안해 미워해 사랑해,Crush
82,사막에서 꽃을 피우듯,우디 (Woody)
83,Ditto,NewJeans
84,취중고백,김민석
85,Armageddon,aespa
86,Sticky,KISS OF LIFE
87,녹아내려요,DAY6 (데이식스)
88,Chroma Drift,PLAVE
89,숙녀에게,송필근
90,12:32 (A to T),PLAVE
91,poppop,NCT WISH
92,해야 (HEYA),IVE (아이브)
93,보금자리,임영웅
94,살기 위해서,순순희
95,LOVE ATTACK,RESCENE (리센느)
96,DRAMA,G-DRAGON
97,Supernatural,NewJeans
98,1999,마크 (MARK)
99,number one girl,로제 (ROSÉ)
100,earthquake,지수 (JISOO)
